date,max_temp,min_temp
2026-08-13,35.2,27.2
2026-08-14,36.2,28.1
2026-08-15,36.0,28.1
2026-08-16,37.2,28.6
2026-08-17,37.5,27.4
2026-08-18,37.4,25.4
2026-08-19,35.9,26.3
2026-08-20,36.6,26.4
